entidad,hhi,m_total,n_proveedores,nivel
MUNICIPALIDAD DISTRITAL DE CHINCHERO,6877.5,9025833.07,13,alto
MUNICIPALIDAD DISTRITAL DE PAPAYAL,6874.5,10216675.209999997,7,alto
MUNICIPALIDAD DISTRITAL DE CCAPACMARCA,6874.1,12709937.24,11,alto
PROGRAMA NACIONAL DE ASISTENCIA SOLIDARIA PENSION 65,6840.9,13856232.03,12,alto
MUNICIPALIDAD DISTRITAL DE ILLIMO,6834.9,10314350.42,6,alto
MEJORA DE LA CALIDAD DE SERVICIOS REGISTRALES - RENIEC,6830.7,14982638.450000001,25,alto
ZONA REGISTRAL N° XIII SEDE TACNA,6822.3,2693104.8,5,alto
MUNICIPALIDAD DISTRITAL DE POTONI,6745.1,7396141.07,12,alto
MTC - AUTORIDAD PORTUARIA NACIONAL,6745.1,21591706.39,13,alto
MUNICIPALIDAD DISTRITAL DE CANOAS DE PUNTA SAL,6741.2,8206126.41,8,alto
MUNICIPALIDAD DISTRITAL DE LAGUNAS - ALTO AMAZONAS,6696.4,9143900.5,8,alto
MUNICIPALIDAD DISTRITAL DE HUACHOS,6687.6,2036823.41,6,alto
MUNICIPALIDAD DISTRITAL DE PACHIA,6681.4,3020752.14,5,alto
MUNICIPALIDAD DISTRITAL DE HUARO,6649.0,15050405.270000001,12,alto
MUNICIPALIDAD PROVINCIAL DE TAHUAMANU - IÑAPARI,6637.9,57583750.489999995,14,alto
MUNICIPALIDAD DISTRITAL DE RAPAYAN,6631.1,18348048.740000002,9,alto
MUNICIPALIDAD DISTRITAL DE CONDORMARCA,6607.8,1916764.36,5,alto
MUNICIPALIDAD DISTRITAL DE SARAYACU,6563.8,16314928.36,8,alto
MUNICIPALIDAD DISTRITAL DE TOURNAVISTA,6536.0,6322938.11,9,alto
GOBIERNO REGIONAL DEL CALLAO - UNIDAD EJECUTORA 403 HOSPITAL DE VENTANILLA,6531.5,8299750.0,9,alto
MUNICIPALIDAD DISTRITAL DE CHUGUR,6525.6,3293706.5,5,alto
MUNICIPALIDAD DISTRITAL DE PUNTA HERMOSA,6522.9,10832284.45,11,alto
MUNICIPALIDAD DISTRITAL DE PULAN,6513.5,54696807.09,6,alto
MUNICIPALIDAD DISTRITAL DE KAÑARIS,6507.0,4609336.23,7,alto
MUNICIPALIDAD DISTRITAL DE SANTA EULALIA,6500.5,6591381.39,5,alto
MUNICIPALIDAD DISTRITAL DE AMOTAPE,6486.5,7089503.47,6,alto
MUNICIPALIDAD DISTRITAL DE RANRACANCHA,6475.1,8457294.14,8,alto
MUNICIPALIDAD DISTRITAL DE BELLAVISTA DE LA UNION,6470.3,2199599.13,5,alto
MUNICIPALIDAD DISTRITAL DE CRUCERO,6454.3,8160616.11,13,alto
MUNICIPALIDAD DISTRITAL DE TICLACAYAN,6419.8,9512117.56,7,alto
MUNICIPALIDAD DISTRITAL DE CUSIPATA,6383.7,19609871.64,13,alto
MUNICIPALIDAD DISTRITAL DE SAN RAFAEL - AMBO,6377.6,10735397.940000001,7,alto
GOBIERNO REGIONAL DE PASCO - UNIDAD EJECUTORA PASCO SELVA CENTRAL,6369.4,12305653.739999998,8,alto
MUNICIPALIDAD DISTRITAL DE HUANCARANI,6355.1,22989139.55,25,alto
MUNICIPALIDAD DISTRITAL DE PUCARA - JAEN,6348.8,4061929.21,8,alto
OFICINA DE NORMALIZACION PREVISIONAL,6332.0,131863480.94,39,alto
MUNICIPALIDAD DISTRITAL DE BELLAVISTA - SULLANA,6320.6,3976017.43,5,alto
MUNICIPALIDAD DISTRITAL DE SONDOR,6288.0,21000424.529999997,10,alto
MUNICIPALIDAD DISTRITAL DE MOLINOS - PACHITEA,6253.8,13508930.629999999,9,alto
MUNICIPALIDAD DISTRITAL DE EL CARMEN - CHURCAMPA,6170.7,5943501.6899999995,6,alto
MUNICIPALIDAD DISTRITAL DE HUAYLLATI,6141.1,1147081.01,5,alto
MUNICIPALIDAD DISTRITAL DE SANTO DOMINGO DE ACOBAMBA,6138.8,9183019.5,8,alto
MUNICIPALIDAD DISTRITAL DE LLALLI,6136.6,1505721.85,5,alto
GOBIERNO REGIONAL DE MADRE DE DIOS - PROYECTO ESPECIAL MADRE DE DIOS,6118.3,2054595.7,5,alto
MUNICIPALIDAD DISTRITAL DE HUAROCONDO,6117.3,3370448.91,7,alto
MUNICIPALIDAD DISTRITAL DE ASCENSION,6095.4,3050943.24,8,alto
UNIDAD EJECUTORA 002 INICTEL-UNI,6058.7,1995126.97,13,alto
MUNICIPALIDAD DISTRITAL DE SAN JOSE DE QUERO,6038.9,7774465.18,6,alto
MUNICIPALIDAD DISTRITAL DE BELLA UNION,6031.6,3934575.15,5,alto
GOBIERNO REGIONAL DE SAN MARTÍN - OFICINA ZONAL HUALLAGA CENTRAL,6019.6,142228240.76,10,alto
MUNICIPALIDAD DISTRITAL DE TURPAY,6010.9,3839397.23,6,alto
MUNICIPALIDAD DISTRITAL DE LAS PIRIAS,5983.6,34383760.68,9,alto
MUNICIPALIDAD DISTRITAL DE TAMBILLO,5982.6,10982756.56,6,alto
CONGRESO DE LA REPÚBLICA - IMPLEMENT. DEL MODELO DE LA INFRAESTRUC. Y FUNCIONAM. DE LA BICAMERALIDAD,5977.2,2108268.46,5,alto
MUNICIPALIDAD DISTRITAL DE HUAMBOS,5971.3,15686187.280000001,11,alto
