entidad,hhi,m_total,n_proveedores,nivel
GOBIERNO REGIONAL DE SAN MARTIN - PROYECTO ESPECIAL ALTO MAYO,4376.9,51893155.67999999,16,alto
MUNICIPALIDAD DISTRITAL DE ACRAQUIA,4356.6,8045940.98,6,alto
MUNICIPALIDAD DISTRITAL DE CHAMACA,4353.3,79060189.28,19,alto
MUNICIPALIDAD DISTRITAL DE JACAS GRANDE,4351.2,6523403.31,8,alto
INSTITUTO DE MEDICINA LEGAL Y CIENCIAS FORENSES,4335.5,6392386.79,15,alto
MUNICIPALIDAD DISTRITAL DE PACAIPAMPA,4328.9,25477502.22,10,alto
MUNICIPALIDAD DISTRITAL DE OCROS,4325.3,89223065.19,11,alto
FONDO MUNICIPAL DE INVERSIONES DEL CALLAO,4321.7,22794519.01,8,alto
MUNICIPALIDAD DISTRITAL DE LOS ORGANOS,4309.9,2224312.43,5,alto
MUNICIPALIDAD DISTRITAL DE TUPAC AMARU,4287.3,2752415.91,7,alto
MUNICIPALIDAD DISTRITAL DE COPALLIN,4285.3,4859641.08,7,alto
MUNICIPALIDAD DISTRITAL DE EL PORVENIR - SAN MARTIN,4280.0,1648130.5999999999,6,alto
MUNICIPALIDAD DISTRITAL DE MOLINOS - JAUJA,4274.5,1724707.5699999998,5,alto
MUNICIPALIDAD DISTRITAL DE ACOCRO,4269.7,21844456.05,6,alto
MUNICIPALIDAD DISTRITAL DE ANDAYMARCA,4262.3,15285442.559999999,8,alto
MUNICIPALIDAD DISTRITAL DE TAURIJA,4247.8,3303477.64,5,alto
MUNICIPALIDAD DISTRITAL DE SANTA ROSA - JAEN,4236.3,104754560.36,14,alto
MUNICIPALIDAD DISTRITAL DE CHALACO,4232.7,14553468.780000001,9,alto
MUNICIPALIDAD DISTRITAL DE ALCAMENCA,4231.1,25882289.880000003,7,alto
MUNICIPALIDAD DISTRITAL DE ORONCCOY,4226.6,9992124.120000001,8,alto
MUNICIPALIDAD DISTRITAL DE COLASAY,4213.1,23536931.69,12,alto
