summary,monto_referencial,n_postores,n_adjudicaciones,n_contratos,monto_adjudicado,monto_contratado,n_items,dias_convocatoria,monto_final,ratio_adjudicado,postor_unico,fue_adjudicado,n_unspsc,monto_valido,moneda_homogenea,fecha_en_rango,ratio_sospechoso
count,79332,74477,61542,55955,61542,55955,79332,74447,79332,60531,74477,61542,79332,79332,79332,79332,60531
mean,1609535.1674528564,13.271345516065363,1.0745994605310194,1.0733089089446877,1333575.1381253442,1189858.511846484,1.1395779761004388,0.0011148871008905665,1572858.4443423832,0.9597060106546934,0.11668031741342964,1.0,0.8821912973327283,0.9693188120808753,0.979718146523471,0.9968865022941562,0.0701458756670136
stddev,1.3790830426471176E7,14.808573804895868,0.4833980879728544,0.8053739560327311,1.195584351644084E7,1.0261215557402585E7,1.5843084664914142,0.3041966952054489,1.393320244331861E7,0.5018166765886686,0.3210411263749056,0.0,0.8509212705479317,0.1724535517468804,0.14096364911543205,0.055712143762451136,0.2553948107654088
min,0.0,1,1,1,0.0,0.0,1,0,0.0,0.0,0,1,0,0,0,0,0
25%,84000.0,3,1,1,83000.0,80250.0,1,0,80965.12,0.9000000042569379,0,1,1,1,1,1,0
50%,185872.54,9,1,1,178600.0,168000.0,1,0,177990.0,0.9943424759695062,0,1,1,1,1,1,0
75%,499666.49,17,1,1,479925.0,449786.97,1,0,484360.54,1.0,0,1,1,1,1,1,0
max,1.13490948419E9,282,29,66,1.11190948419E9,1.11190948419E9,267,83,1.11190948419E9,101.0,1,1,87,1,1,1,1
