ranking,proveedor,monto_total,pct_del_total,acumulado_pct
374,CONSORCIO GRUPO SEGURIDAD ESTRATEGICA SAC - GRUPO GERENCIA DE SEGURIDAD SAC,28883142.45,0.04,47.449
375,CONSORCIO OBICON CUSCO,28730000.0,0.04,47.489
376,CONSORCIO CERRO BLANCO,28618764.04,0.04,47.529
377,CONSTRUCTORA NEPAL S.A.C. CONSULTORES Y CONTRATISTAS GENERALES,28448983.96,0.039,47.568
378,CONSORCIO BELLAVISTA,28406399.96,0.039,47.607
379,IN CONTINU ET SERVICES S.A.S. SUCURSAL DEL PERU,28330903.2,0.039,47.646
380,CONSORCIO G & S,28272982.66,0.039,47.685
381,CONSORCIO EJECUTOR CORIS,28272609.4,0.039,47.724
382,CONSORCIO TENZIN CONSTRUCTION,28200000.0,0.039,47.763
383,CONSORCIO OBRAS VIALES,28178762.7,0.039,47.802
384,PROTEGE SERVICIOS S.A. - PROTEGE SERVICIOS,28129831.14,0.039,47.841
385,SEGUROC SOCIEDAD ANONIMA,28115301.72,0.039,47.88
386,CONSORCIO SANEAMING,28115269.58,0.039,47.919
387,HAMUQ FARMA E.I.R.L.,28080494.28,0.039,47.958
388,CONSORCIO CONSULTOR SAN PEDRO,28074105.63,0.039,47.997
389,CONSORCIO LIA,28049982.66,0.039,48.036
390,COORPORACION DE SERVICIOS DE LIMPIEZA Y SANEAMIENTO AMBIENTAL SOCIEDAD ANONIMA CERRADA SERVICIO DE REPRESENTACIONES CONSIGNACIONES Y LIMPIEZA MEGA INTEGRAL S.A.C. STHALEMS SMITH S.A.C.,27986785.54,0.039,48.075
391,KUNTUR WASI INGENIEROS S.R.L.,27894148.37,0.039,48.114
392,CONSORCIO AMBIENTAL MOQUEGUA,27891499.63,0.039,48.153
393,EMPRESA DE SERVICIOS RIO SANTA S.R.L.,27815616.0,0.039,48.192
394,KHUT SRL,27775701.16,0.038,48.23
395,CONSORCIO AGUA VIVA,27583292.42,0.038,48.268
396,CONSORCIO CULTURAL,27518946.29,0.038,48.306
397,CONSORCIO RIO YARABAMBA,27509169.64,0.038,48.344
398,CONSORCIO ELECTRICO BOLÍVAR,27460570.62,0.038,48.382
399,CONSORCIO LA TORRE GARCIA,27401889.37,0.038,48.42
400,CONTRATISTAS GENERALES ASOCIADOS GM S.A.C.,27346304.61,0.038,48.458
401,CONSORCIO KRESKO,27235240.05,0.038,48.496
402,CONSORCIO ANDES DEL SOL,27234387.34,0.038,48.534
403,HERRERA ORE PALERMO,27143809.4,0.038,48.572
404,CONSORCIO VIAL QUINCE,27073588.0,0.037,48.609
405,CONSORCIO LUZ FABIANA,27061542.59,0.037,48.646
406,CONSORCIO NUEVA ESPERANZA,27059310.55,0.037,48.683
407,GRUPO DE OPERACIONES ESPECIALES Y SEGURIDAD SOCIEDAD ANONIMA CERRADA,26996089.16,0.037,48.72
408,CONSORCIO VOLTIUM,26977303.8,0.037,48.757
409,CONSORCIO RESIDUOS CALLAO,26937000.0,0.037,48.794
410,CONSORCIO ELECTRICO DEL NORTE,26921138.78,0.037,48.831
411,CONSORCIO SAN MARCOS,26833197.69,0.037,48.868
412,CONSORCIO AZVALIA,26787551.81,0.037,48.905
413,CONSORCIO ZAFIRO,26757138.12,0.037,48.942
414,CONSORCIO EJECUTOR  DISAMART,26718801.54,0.037,48.979
415,CONSORCIO CAJAMARCA,26699345.03,0.037,49.016
416,CONSORCIO ALAMEDA HUANUCO,26672919.67,0.037,49.053
417,CONSORCIO EJECUTOR YARINA,26415123.5,0.037,49.09
418,CONSORCIO SAMURAI,26397120.0,0.037,49.127
419,SANCHEZ RICO INGENIERIA Y CONSTRUCCION S.A.C.,26327045.39,0.036,49.163
420,CONSORCIO VIAL,26315187.56,0.036,49.199
421,ROCA S.A.C.,26286220.41,0.036,49.235
422,CONSORCIO RIEGO CALLEJON,26253249.25,0.036,49.271
423,CONSORCIO VALLE VERDE,26153454.58,0.036,49.307
424,CONSORCIO VIAL MAYOLO,26143573.05,0.036,49.343
425,CONSORCIO SUPERVISOR CHOTA,26139664.75,0.036,49.379
426,BERTONATI TECHNOLOGIES S.A.,26125699.06,0.036,49.415
427,RIVERSA SERVICIOS GENERALES S.R.L,26108727.39,0.036,49.451
428,CONSORCIO CAMINO DEL HUASCARÁN,26049840.87,0.036,49.487
429,INMOBILIARIA SUDAMERICANA INTERNACIONAL S.A.,25983355.14,0.036,49.523
430,CONSORCIO COLECTORES ATARJEA,25977600.0,0.036,49.559
431,CONSORCIO VIAL MARGOS,25928042.0,0.036,49.595
432,HARDTECH SOLUTIONS S.A.C.,25897912.35,0.036,49.631
433,CONSORCIO VIA PACHACUTEC,25894793.05,0.036,49.667
434,CONSORCIO VIAL PUYCA,25876636.6,0.036,49.703
435,CONSORCIO UNIÓN,25857769.84,0.036,49.739
436,CONSORCIO MICAELA,25696801.77,0.036,49.775
437,CONSORCIO CORAL,25617599.12,0.035,49.81
438,DIMEXA S.A.,25613263.95,0.035,49.845
439,CONSORCIO SAN FRANCISCO,25591838.5,0.035,49.88
440,CONSORCIO YAKU,25579614.54,0.035,49.915
441,CONSORCIO ANTUNEZ,25538885.99,0.035,49.95
442,CONSORCIO CARRETERA JUS 115,25472587.5,0.035,49.985
443,FRESENIUS MEDICAL CARE DEL PERU S.A.,25310056.32,0.035,50.02
444,CONSORCIO LAURICOCHA,25207584.38,0.035,50.055
445,CONSORCIO FENIX ASOCIADOS,25002804.46,0.035,50.09
446,CONSORCIO FRESADOR,24916125.0,0.034,50.124
447,ROCHEM BIOCARE DEL PERU S.A.C,24890058.25,0.034,50.158
448,CONSORCIO VIAL PUENTE CHORRILLOS,24878700.24,0.034,50.192
449,CONSORCIO CCOCHACCASA,24800977.69,0.034,50.226
450,NOVENTIQ INTERNATIONAL PERU S.A.C.,24768103.24,0.034,50.26
451,NOR YAUYOS VRAEM,24761678.72,0.034,50.294
452,CONSORCIO EDUCATIVO JVS,24733046.94,0.034,50.328
453,GATT PERU S.R.L.,24621562.9,0.034,50.362
454,INSTITUTO QUIMIOTERAPICO S A,24595126.66,0.034,50.396
455,CONSORCIO SANEAMIENTO LONYA GRANDE,24578000.0,0.034,50.43
456,CONSORCIO SUPERVISOR HOSPITAL MANCHAY,24509577.42,0.034,50.464
457,CONSORCIO GRUPO C6V SECURITY S.A.C. - ENLAZE GROUP S.A.C.,24478907.16,0.034,50.498
458,CONSORCIO EJECUTOR BASADRE,24478477.83,0.034,50.532
459,PACIFICO EDITORES S.A.C.,24473388.91,0.034,50.566
460,CONSORCIO MENBER,24394927.49,0.034,50.6
461,CONSORCIO SUROBRAS,24375032.48,0.034,50.634
462,DAILY TECHNOLOGY S.A.C.,24359235.43,0.034,50.668
463,CONSORCIO INNOVA,24294253.43,0.034,50.702
464,TMI-TYC SOCIEDAD ANONIMA CERRADA - TMI-TYC S.A.C.,24292324.21,0.034,50.736
465,CONSULTORIA & CONSTRUCCIONES FERMATHY E.I.R.L.,24291636.35,0.034,50.77
466,CONSORCIO EJECUTOR COPANI,24211071.89,0.034,50.804
467,M.L. INGENIERIA PROVEEDORES Y SERVICIOS S.C.R.L.,24188979.79,0.033,50.837
468,ELJY S.A.C.,24159422.91,0.033,50.87
469,CONSORCIO COMERCIAL TRES ESTRELLAS SA  - PANIFICADORA HAROLS EIRL,24138180.0,0.033,50.903
470,NEXTNET S.A.C.,24106192.57,0.033,50.936
471,CONSORCIO DEL ORIENTE,24081794.65,0.033,50.969
472,CONSORCIO CHAUPI,24081300.0,0.033,51.002
473,CORPORACION CENTRAL LIMA PERU S.A.C. - CORCELIP S.A.C.,24080018.0,0.033,51.035
474,CONSORCIO AGUAS DEL SHIPAGO,24070782.0,0.033,51.068
475,CONSORCIO MARCOBAMBA,24032735.88,0.033,51.101
476,CONSORCIO NATIVIDAD,24008358.16,0.033,51.134
477,CONSORCIO AKUNTA,24006232.36,0.033,51.167
478,CONSORCIO EJECUTOR D&C,23893360.6,0.033,51.2
479,CONSORCIO EDUCATIVO DEL SUR,23850000.0,0.033,51.233
480,CONSORCIO H&M AMAZONIA,23832227.82,0.033,51.266
481,EXAMOVA MAQUINARIAS Y SERVICIOS E.I.R.L.,23776277.82,0.033,51.299
482,CONSORCIO SALU TAPUC,23657061.87,0.033,51.332
483,CONSORCIO LABRADOR,23622582.3,0.033,51.365
484,CONSORCIO SONDOR,23620208.13,0.033,51.398
485,CONSORCIO ESMERALDA,23464781.37,0.032,51.43
486,2B & C INGENIEROS S.A.C.,23388045.47,0.032,51.462
487,CONSORCIO FLORIDA,23288163.47,0.032,51.494
488,BIOLATAM PHARMA HOLDING INC,23235677.18,0.032,51.526
489,CONSORCIO RIO RIMAC,23208800.0,0.032,51.558
490,INDUSTRIAS TRIVECA S.A.C.,23173197.18,0.032,51.59
491,CONSORCIO VIRGEN DE FATIMA II,23090963.09,0.032,51.622
492,ENTEL PERU S.A.,23016769.29,0.032,51.654
493,CONSORCIO EMB DUBERLY,22999636.02,0.032,51.686
494,CONSORCIO ELECTRICO MARAÑON,22981853.41,0.032,51.718
495,SOGU CONSTRUCTORA S.A.C.,22953580.88,0.032,51.75
496,CONSORCIO PERU CANADA,22893359.73,0.032,51.782
497,CONSORCIO RIO BLANCO,22825470.09,0.032,51.814
498,CONSORCIO INGENIERIA LANDONTEX,22783928.29,0.032,51.846
499,CONSORCIO EJECUTORES PERUANOS,22773685.66,0.032,51.878
500,CONTRATISTAS Y CONSULTORES FP SOCIEDAD ANONIMA CERRADA - CYC FP S.A.C.,22752104.0,0.031,51.909
